"Path","Name","Scripts","Dependencies","DevDependencies","Framework"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\has-symbols\package.json","has-symbols","prepack,prepublishOnly,prepublish,pretest,test,posttest,tests-only,test:stock,test:staging,test:shams,test:shams:corejs,test:shams:getownpropertysymbols,lint,postlint,version,postversion","","@arethetypeswrong/cli,@ljharb/eslint-config,@ljharb/tsconfig,@types/core-js,@types/tape,auto-changelog,core-js,encoding,eslint,get-own-property-symbols,in-publish,npmignore,nyc,safe-publish-latest,tape,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\htmlparser2\lib\esm\package.json",,"","","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\htmlparser2\package.json","htmlparser2","test,test:jest,lint,lint:es,lint:prettier,format,format:es,format:prettier,format:prettier:raw,build,build:cjs,build:esm,prepare","domelementtype,domhandler,domutils,entities","@types/jest,@types/node,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,eslint,eslint-config-prettier,eslint-plugin-n,eslint-plugin-unicorn,jest,prettier,ts-jest,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\html-to-text\package.json","html-to-text","build:rollup,build,clean,copy:license,cover,test","@selderee/plugin-htmlparser2,deepmerge,dom-serializer,htmlparser2,selderee","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\http-errors\package.json","http-errors","lint,test,test-ci,test-cov,version","depd,inherits,setprototypeof,statuses,toidentifier","eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\iconv-lite\package.json","iconv-lite","coverage,coverage-open,test","safer-buffer","mocha,request,unorm,errto,async,istanbul,semver,iconv",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\ignore-by-default\package.json","ignore-by-default","test","","figures,standard",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\inherits\package.json","inherits","test","","tap",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\ipaddr.js\package.json","ipaddr.js","test","","coffee-script,nodeunit,uglify-js",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\is-binary-path\package.json","is-binary-path","test","binary-extensions","ava,tsd,xo",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\is-extglob\package.json","is-extglob","test","","gulp-format-md,mocha",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\is-glob\package.json","is-glob","test","is-extglob","gulp-format-md,mocha",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\is-number\package.json","is-number","test","","ansi,benchmark,gulp-format-md,mocha",""
