"Path","Name","Scripts","Dependencies"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\nodemon\node_modules\ms\package.json","ms","lint,precommit,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\normalize-path\package.json","normalize-path","test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\object-assign\package.json","object-assign","bench,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\object-inspect\package.json","object-inspect","lint,postlint,posttest,postversion,prepack,prepublish,prepublishOnly,pretest,test,test:corejs,tests-only,version",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\on-finished\package.json","on-finished","lint,test,test-ci,test-cov","ee-first"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\parseley\package.json","parseley","build,build:deno,build:docs,build:rollup,build:types,checkAll,clean,example,lint,lint:eslint,lint:md,prepublishOnly,test","leac,peberminta"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\parseurl\package.json","parseurl","bench,lint,test,test-cov,test-travis",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\path-to-regexp\package.json","path-to-regexp","test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\peberminta\package.json","peberminta","build,build:deno,build:docs,build:rollup,build:types,checkAll,clean,cover,example:bf1,example:bf2,example:calc,example:csv,example:hexColor,example:json,example:nonDec,lint,lint:eslint,lint:md,prepublishOnly,test,test:ava,test:tsc,ts",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\picomatch\package.json","picomatch","lint,mocha,test,test:ci,test:cover",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\prettier\package.json","prettier","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\proxy-addr\package.json","proxy-addr","bench,lint,test,test-ci,test-cov","forwarded,ipaddr.js"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\pstree.remy\package.json","pstree.remy","test,_prepublish",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\punycode\package.json","punycode","build,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\qs\package.json","qs","dist,lint,postlint,posttest,prepack,prepublish,prepublishOnly,pretest,readme,test,tests-only","side-channel"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\range-parser\package.json","range-parser","lint,test,test-cov,test-travis",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\raw-body\package.json","raw-body","lint,test,test-ci,test-cov","bytes,http-errors,iconv-lite,unpipe"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\react\package.json","react","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\react-dom\package.json","react-dom","","scheduler"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\react-promise-suspense\package.json","react-promise-suspense","build,dev,prepublishOnly,test","fast-deep-equal"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\readdirp\package.json","readdirp","dtslint,lint,mocha,nyc,test","picomatch"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\resend\package.json","resend","build,format,format:apply,format:check,lint,prepublishOnly,test,test:watch","@react-email/render"
