sheet,cell,formula_or_literal,resolved_value
Day 1 - Match 1,W15,"=IF($S$39=W$5,S15*W$5,"""")",
Day 1 - Match 1,X15,"=IF($S$39=X$5,S15*X$5,"""")",
Day 1 - Match 1,Y15,"=IF($S$39=Y$5,S15*Y$5,"""")",
Day 1 - Match 1,Z15,"=IF($S$39=Z$5,S15*Z$5,"""")",
Day 1 - Match 1,AA15,"=IF(SUM(V15:Z15)=0,0,Setup!F$45/SUM(V15:Z15))",0
Day 1 - Match 1,A16,=Matchups!C13,Steve
Day 1 - Match 1,K16,=SUM(B16:J16),0
Day 1 - Match 1,M16,=A16,Steve
Day 1 - Match 1,N16,=K16,0
Day 1 - Match 1,O16,=K76,0
Day 1 - Match 1,T16,='Skins - Day 1'!T16,0
Day 1 - Match 1,V16,"=IF($S$39=V$5,S16*V$5,"""")",
Day 1 - Match 1,W16,"=IF($S$39=W$5,S16*W$5,"""")",
Day 1 - Match 1,X16,"=IF($S$39=X$5,S16*X$5,"""")",
Day 1 - Match 1,Y16,"=IF($S$39=Y$5,S16*Y$5,"""")",
Day 1 - Match 1,Z16,"=IF($S$39=Z$5,S16*Z$5,"""")",
Day 1 - Match 1,AA16,"=IF(SUM(V16:Z16)=0,0,Setup!F$45/SUM(V16:Z16))",0
Day 1 - Match 1,AD16,=A16,Steve
Day 1 - Match 1,AE16,=B16,0
Day 1 - Match 1,AF16,=C16,0
Day 1 - Match 1,AG16,=D16,0
Day 1 - Match 1,AH16,=E16,0
Day 1 - Match 1,AI16,=F16,0
Day 1 - Match 1,AJ16,=G16,0
Day 1 - Match 1,AK16,=H16,0
Day 1 - Match 1,AL16,=I16,0
Day 1 - Match 1,AM16,=J16,0
Day 1 - Match 1,A17,=Matchups!C14,8
Day 1 - Match 1,M17,=A17,8
Day 1 - Match 1,N17,=K17,0
Day 1 - Match 1,V17,"=IF($S$39=V$5,S17*V$5,"""")",
Day 1 - Match 1,W17,"=IF($S$39=W$5,S17*W$5,"""")",
Day 1 - Match 1,X17,"=IF($S$39=X$5,S17*X$5,"""")",
Day 1 - Match 1,Y17,"=IF($S$39=Y$5,S17*Y$5,"""")",
Day 1 - Match 1,Z17,"=IF($S$39=Z$5,S17*Z$5,"""")",
Day 1 - Match 1,AA17,"=IF(SUM(V17:Z17)=0,0,Setup!F$45/SUM(V17:Z17))",0
Day 1 - Match 1,A18,=Matchups!C15,Tommy
Day 1 - Match 1,K18,=SUM(B18:J18),0
Day 1 - Match 1,M18,=A18,Tommy
Day 1 - Match 1,N18,=K18,0
Day 1 - Match 1,O18,=K83,0
Day 1 - Match 1,T18,='Skins - Day 1'!T18,0
Day 1 - Match 1,V18,"=IF($S$39=V$5,S18*V$5,"""")",
Day 1 - Match 1,W18,"=IF($S$39=W$5,S18*W$5,"""")",
Day 1 - Match 1,X18,"=IF($S$39=X$5,S18*X$5,"""")",
Day 1 - Match 1,Y18,"=IF($S$39=Y$5,S18*Y$5,"""")",
Day 1 - Match 1,Z18,"=IF($S$39=Z$5,S18*Z$5,"""")",
Day 1 - Match 1,AA18,"=IF(SUM(V18:Z18)=0,0,Setup!F$45/SUM(V18:Z18))",0
Day 1 - Match 1,AD18,=A18,Tommy
Day 1 - Match 1,AE18,=B18,0
Day 1 - Match 1,AF18,=C18,0
Day 1 - Match 1,AG18,=D18,0
Day 1 - Match 1,AH18,=E18,0
Day 1 - Match 1,AI18,=F18,0
Day 1 - Match 1,AJ18,=G18,0
Day 1 - Match 1,AK18,=H18,0
Day 1 - Match 1,AL18,=I18,0
Day 1 - Match 1,AM18,=J18,0
Day 1 - Match 1,A19,=Matchups!C16,5
Day 1 - Match 1,M19,=A19,5
Day 1 - Match 1,N19,=K19,0
Day 1 - Match 1,V19,"=IF($S$39=V$5,S19*V$5,"""")",
Day 1 - Match 1,W19,"=IF($S$39=W$5,S19*W$5,"""")",
Day 1 - Match 1,X19,"=IF($S$39=X$5,S19*X$5,"""")",
Day 1 - Match 1,Y19,"=IF($S$39=Y$5,S19*Y$5,"""")",
Day 1 - Match 1,Z19,"=IF($S$39=Z$5,S19*Z$5,"""")",
Day 1 - Match 1,AA19,"=IF(SUM(V19:Z19)=0,0,Setup!F$45/SUM(V19:Z19))",0
Day 1 - Match 1,A20,=Matchups!C17,Pat
Day 1 - Match 1,K20,=SUM(B20:J20),0
Day 1 - Match 1,M20,=A20,Pat
Day 1 - Match 1,N20,=K20,0
Day 1 - Match 1,O20,=K89,2
Day 1 - Match 1,T20,='Skins - Day 1'!T20,0
Day 1 - Match 1,V20,"=IF($S$39=V$5,S20*V$5,"""")",
Day 1 - Match 1,W20,"=IF($S$39=W$5,S20*W$5,"""")",
Day 1 - Match 1,X20,"=IF($S$39=X$5,S20*X$5,"""")",
Day 1 - Match 1,Y20,"=IF($S$39=Y$5,S20*Y$5,"""")",
Day 1 - Match 1,Z20,"=IF($S$39=Z$5,S20*Z$5,"""")",
Day 1 - Match 1,AA20,"=IF(SUM(V20:Z20)=0,0,Setup!F$45/SUM(V20:Z20))",0
Day 1 - Match 1,AD20,=A20,Pat
Day 1 - Match 1,AE20,=B20,0
Day 1 - Match 1,AF20,=C20,0
Day 1 - Match 1,AG20,=D20,0
Day 1 - Match 1,AH20,=E20,0
Day 1 - Match 1,AI20,=F20,0
Day 1 - Match 1,AJ20,=G20,0
Day 1 - Match 1,AK20,=H20,0
Day 1 - Match 1,AL20,=I20,0
Day 1 - Match 1,AM20,=J20,0
Day 1 - Match 1,A21,=Matchups!C18,10
Day 1 - Match 1,M21,=A21,10
Day 1 - Match 1,N21,=K21,0
Day 1 - Match 1,V21,"=IF($S$39=V$5,S21*V$5,"""")",
Day 1 - Match 1,W21,"=IF($S$39=W$5,S21*W$5,"""")",
Day 1 - Match 1,X21,"=IF($S$39=X$5,S21*X$5,"""")",
Day 1 - Match 1,Y21,"=IF($S$39=Y$5,S21*Y$5,"""")",
Day 1 - Match 1,Z21,"=IF($S$39=Z$5,S21*Z$5,"""")",
Day 1 - Match 1,AA21,"=IF(SUM(V21:Z21)=0,0,Setup!F$45/SUM(V21:Z21))",0
Day 1 - Match 1,A22,=Matchups!C19,Mil
Day 1 - Match 1,K22,=SUM(B22:J22),0
Day 1 - Match 1,M22,=A22,Mil
Day 1 - Match 1,N22,=K22,0
Day 1 - Match 1,O22,=K96,0
Day 1 - Match 1,T22,='Skins - Day 1'!T22,0
Day 1 - Match 1,V22,"=IF($S$39=V$5,S22*V$5,"""")",
Day 1 - Match 1,W22,"=IF($S$39=W$5,S22*W$5,"""")",
Day 1 - Match 1,X22,"=IF($S$39=X$5,S22*X$5,"""")",
Day 1 - Match 1,Y22,"=IF($S$39=Y$5,S22*Y$5,"""")",
Day 1 - Match 1,Z22,"=IF($S$39=Z$5,S22*Z$5,"""")",
Day 1 - Match 1,AA22,"=IF(SUM(V22:Z22)=0,0,Setup!F$45/SUM(V22:Z22))",0
Day 1 - Match 1,AD22,=A22,Mil
Day 1 - Match 1,AE22,=B22,0
Day 1 - Match 1,AF22,=C22,0
Day 1 - Match 1,AG22,=D22,0
Day 1 - Match 1,AH22,=E22,0
Day 1 - Match 1,AI22,=F22,0
Day 1 - Match 1,AJ22,=G22,0
Day 1 - Match 1,AK22,=H22,0
Day 1 - Match 1,AL22,=I22,0
Day 1 - Match 1,AM22,=J22,0
Day 1 - Match 1,A23,=Matchups!C20,8
Day 1 - Match 1,M23,=A23,8
Day 1 - Match 1,N23,=K23,0
Day 1 - Match 1,V23,"=IF($S$39=V$5,S23*V$5,"""")",
Day 1 - Match 1,W23,"=IF($S$39=W$5,S23*W$5,"""")",
Day 1 - Match 1,X23,"=IF($S$39=X$5,S23*X$5,"""")",
Day 1 - Match 1,Y23,"=IF($S$39=Y$5,S23*Y$5,"""")",
Day 1 - Match 1,Z23,"=IF($S$39=Z$5,S23*Z$5,"""")",
Day 1 - Match 1,AA23,"=IF(SUM(V23:Z23)=0,0,Setup!F$45/SUM(V23:Z23))",0
Day 1 - Match 1,A24,=Matchups!C21,CSamm
Day 1 - Match 1,K24,=SUM(B24:J24),0
Day 1 - Match 1,M24,=A24,CSamm
Day 1 - Match 1,N24,=K24,0
Day 1 - Match 1,O24,=K102,2
Day 1 - Match 1,T24,='Skins - Day 1'!T24,0
